subject_code,subject_name,lab_units,lec_units,cred_units
CS 1,ICT Fundamentals,1,2,3
CS 11,Intro to Computer Science,1,2,3
Math 1B,College Algebra &Trigonometry,0,5,5
Eng. 1,Study and Thinking Skills,0,3,3
Fil. 1,Komunikasyon sa Akademikong Filipino,0,3,3
PE 1,Physical Fitness and Gymnastics,0,2,2
NSTP 1,National Service Training Program,0,3,3
